movie_id,tmdb_title,genre_ids,genres,genre_count,status,dataset_title
320,Insomnia,"[53, 80, 18]","[""Thriller"", ""Crime"", ""Drama""]",3,success,Insomnia
322,Mystic River,"[53, 18, 9648]","[""Thriller"", ""Drama"", ""Mystery""]",3,success,Mystic River
327,Brother,"[80, 18, 53]","[""Crime"", ""Drama"", ""Thriller""]",3,success,Brother
329,Jurassic Park,"[12, 878]","[""Adventure"", ""Science Fiction""]",2,success,Jurassic Park
330,The Lost World: Jurassic Park,"[12, 28, 878]","[""Adventure"", ""Action"", ""Science Fiction""]",3,success,The Lost World: Jurassic Park
331,Jurassic Park III,"[12, 53, 878]","[""Adventure"", ""Thriller"", ""Science Fiction""]",3,success,Jurassic Park III
334,Magnolia,[18],"[""Drama""]",1,success,Magnolia
335,Once Upon a Time in the West,"[18, 37]","[""Drama"", ""Western""]",2,success,Once Upon a Time in the West
336,"Duck, You Sucker",[37],"[""Western""]",1,success,"Duck, You Sucker"
338,"Good Bye, Lenin!","[35, 18]","[""Comedy"", ""Drama""]",2,success,"Good Bye, Lenin!"
339,Night on Earth,"[35, 18]","[""Comedy"", ""Drama""]",2,success,Night on Earth
340,Everything Is Illuminated,"[35, 18]","[""Comedy"", ""Drama""]",2,success,Everything Is Illuminated
343,Harold and Maude,"[35, 18, 10749]","[""Comedy"", ""Drama"", ""Romance""]",3,success,Harold and Maude
345,Eyes Wide Shut,"[18, 53, 9648]","[""Drama"", ""Thriller"", ""Mystery""]",3,success,Eyes Wide Shut
346,Seven Samurai,"[28, 18]","[""Action"", ""Drama""]",2,success,Seven Samurai
348,Alien,"[27, 878]","[""Horror"", ""Science Fiction""]",2,success,Alien
350,The Devil Wears Prada,"[18, 35]","[""Drama"", ""Comedy""]",2,success,The Devil Wears Prada
363,Head-On,"[18, 10749]","[""Drama"", ""Romance""]",2,success,Head-On
364,Batman Returns,"[28, 14]","[""Action"", ""Fantasy""]",2,success,Batman Returns
377,A Nightmare on Elm Street,[27],"[""Horror""]",1,success,A Nightmare on Elm Street
378,Raising Arizona,"[35, 80]","[""Comedy"", ""Crime""]",2,success,Raising Arizona
379,Miller's Crossing,"[18, 53, 80]","[""Drama"", ""Thriller"", ""Crime""]",3,success,Miller's Crossing
380,Rain Man,[18],"[""Drama""]",1,success,Rain Man
381,To Catch a Thief,"[9648, 10749, 53]","[""Mystery"", ""Romance"", ""Thriller""]",3,success,To Catch a Thief
387,Das Boot,"[18, 36, 10752]","[""Drama"", ""History"", ""War""]",3,success,Das Boot
388,Inside Man,"[80, 18, 53]","[""Crime"", ""Drama"", ""Thriller""]",3,success,Inside Man
389,12 Angry Men,[18],"[""Drama""]",1,success,12 Angry Men
391,A Fistful of Dollars,[37],"[""Western""]",1,success,A Fistful of Dollars
392,Chocolat,"[35, 18, 10749]","[""Comedy"", ""Drama"", ""Romance""]",3,success,Chocolat
393,Kill Bill: Vol. 2,"[28, 80, 53]","[""Action"", ""Crime"", ""Thriller""]",3,success,Kill Bill: Vol. 2
395,AVP: Alien vs. Predator,"[12, 878, 28, 27]","[""Adventure"", ""Science Fiction"", ""Action"", ""Horror""]",4,success,AVP: Alien vs. Predator
396,Who's Afraid of Virginia Woolf?,[18],"[""Drama""]",1,success,Who's Afraid of Virginia Woolf?
397,French Kiss,"[35, 10749, 18]","[""Comedy"", ""Romance"", ""Drama""]",3,success,French Kiss
398,Capote,"[80, 18]","[""Crime"", ""Drama""]",2,success,Capote
400,Things to Do in Denver When You're Dead,"[18, 80]","[""Drama"", ""Crime""]",2,success,Things to Do in Denver When You're Dead
401,Garden State,"[35, 18, 10749]","[""Comedy"", ""Drama"", ""Romance""]",3,success,Garden State
